City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Kontagora,NG,72.77,few clouds,10.3999,5.4695,Queens Guest Inn
1,Qaanaaq,GL,-0.83,clear sky,77.484,-69.3632,Qaanaaq Hotel
2,Salamiyah,SY,64.63,broken clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
3,Biltine,TD,82.72,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
4,Butembo,CD,57.18,overcast clouds,0.15,29.2833,Hotel Butembo
5,Zuwarah,LY,72.54,clear sky,32.9312,12.082,تيدارت انغ
6,Jamestown,US,38.71,moderate rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Georgetown,MY,78.24,light rain,5.4112,100.3354,Cititel Penang
8,Arraial Do Cabo,BR,72.3,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
9,Lebu,CL,52.32,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
10,Coquimbo,CL,58.73,few clouds,-29.9533,-71.3436,Hotel San Juan
11,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
12,Roald,NO,45.75,overcast clouds,62.5833,6.1333,Flem Cabins
13,Ushuaia,AR,42.46,broken clouds,-54.8,-68.3,Albatross Hotel
14,Rotifunk,SL,74.12,broken clouds,8.2333,-12.6833, 
15,Nouakchott,MR,80.53,clear sky,18.0858,-15.9785,HOTEL IMAN
16,Kuytun,RU,31.68,overcast clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
17,East London,ZA,74.08,broken clouds,-33.0153,27.9116,Tu Casa
18,Port Blair,IN,79.75,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
19,Port Alfred,ZA,69.19,scattered clouds,-33.5906,26.891,The Halyards Hotel & Spa
20,Acworth,US,56.44,clear sky,34.0659,-84.6769,"Holiday Inn Express & Suites Acworth - Kennesaw Northwest, an IHG Hotel"
21,Ribeira Grande,PT,65.77,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
22,Teguise,ES,68.22,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
23,Busselton,AU,60.48,overcast clouds,-33.65,115.3333,Observatory Guest House
24,Matinha,BR,79.59,scattered clouds,-3.1006,-45.0336,Hotel do Posto e Conveniência
25,Kangaatsiaq,GL,31.37,overcast clouds,68.3065,-53.4641,Nukissiorfiit
26,Bursa,TR,55.44,broken clouds,40.1667,29.0833,Kent Hotel
27,Baijiantan,CN,51.42,overcast clouds,45.6333,85.1833, 
28,Khandbari,NP,56.73,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
29,Ushtobe,KZ,43.03,overcast clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
30,Ilulissat,GL,15.69,overcast clouds,69.2167,-51.1,Hotel Arctic
31,Iqaluit,CA,22.73,few clouds,63.7506,-68.5145,Frobisher Inn
32,Dingle,PH,78.66,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
33,Nambutalai,IN,80.78,moderate rain,9.7167,79.0,Hotel mahath
34,Araouane,ML,88.18,broken clouds,18.9048,-3.5265, 
35,Visby,SE,46.62,scattered clouds,57.6409,18.296,Best Western Solhem Hotel Visby
36,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
37,Victoria,HK,74.32,broken clouds,22.2855,114.1577,Mini Central
38,Margate,GB,59.9,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
39,Abu Samrah,SY,66.09,broken clouds,35.3029,37.1841, 
40,Diamantino,BR,84.49,broken clouds,-14.4086,-56.4461,Hotel Delta
41,Torbay,CA,55.76,overcast clouds,47.6666,-52.7314,Gallows Cove
42,Sao Raimundo Nonato,BR,83.07,scattered clouds,-9.0153,-42.6994,Real Hotel
43,Upernavik,GL,20.16,overcast clouds,72.7868,-56.1549,Café de Upernavik
44,Hermanus,ZA,61.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
45,Morlenbach,DE,54.25,overcast clouds,49.5992,8.7347,Zur Mühle
46,Ponta Do Sol,PT,75.0,overcast clouds,32.6667,-17.1,Hotel do Campo
47,Umba,RU,38.95,overcast clouds,66.6871,34.3429,Cedar Grass Beloye More
48,Berlevag,NO,37.35,light rain,70.8578,29.0864,Kvitbrakka
49,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
50,Siavonga,ZM,77.32,few clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
51,Mar Del Plata,AR,62.1,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
52,Aksu,CN,54.75,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
53,Alta Floresta,BR,73.81,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
54,Caraquet,CA,57.79,overcast clouds,47.7941,-64.9386,Gite Le Poirier
55,Saldanha,ZA,59.88,broken clouds,-33.0117,17.9442,Blue Bay Lodge
56,Port Elizabeth,ZA,73.31,clear sky,-33.918,25.5701,39 On Nile Guest House
57,Mana,GF,80.02,broken clouds,5.6592,-53.7767,LE SAMANA
58,Grindavik,IS,39.67,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
59,Chapais,CA,38.98,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
60,Trofors,NO,40.87,overcast clouds,65.5333,13.4063,Utpå Neset AS
61,Klaksvik,FO,41.92,scattered clouds,62.2266,-6.589,Airbnb rooms
62,Cape Town,ZA,63.12,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
63,Tukan,RU,34.7,light snow,53.8409,57.4552, 
64,Dikson,RU,32.25,light snow,73.5069,80.5464, 
65,Strezhevoy,RU,39.29,light rain,60.7333,77.5889,Sibiryachka
67,Koulikoro,ML,87.35,broken clouds,14.0,-7.75, 
68,Antalaha,MG,67.69,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
69,Crotone,IT,63.19,clear sky,39.0851,17.1178,Helios Hotel
70,Palora,EC,75.31,light rain,-1.7,-77.9333,Rancho grande
71,Tasiilaq,GL,32.16,overcast clouds,65.6145,-37.6368,The Red House
72,Nanortalik,GL,34.32,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
73,Castro,BR,62.73,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
74,Lagoa,PT,66.0,light rain,39.05,-27.9833,Casa Das Faias
75,Longyearbyen,SJ,21.87,scattered clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
76,Plyussa,RU,33.28,scattered clouds,58.4308,29.3654,Service hotel
77,Thinadhoo,MV,81.46,overcast clouds,0.5333,72.9333, 
78,Turukhansk,RU,33.03,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
79,Awjilah,LY,72.14,broken clouds,29.1081,21.2869,المنزل
80,Bambous Virieux,MU,68.25,few clouds,-20.3428,57.7575,Casa Tia Villa
81,Port Antonio,JM,84.11,broken clouds,18.18,-76.4612,The Trident Hotel
82,Punta Arenas,CL,42.91,light rain,-53.15,-70.9167,Hotel Hain
83,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,Le four à pain
84,Bonfim,BR,80.31,overcast clouds,3.0833,-59.95, 
85,Sena Madureira,BR,83.12,overcast clouds,-9.0656,-68.6569,Hotel Central
86,Saint-Pierre,RE,65.91,few clouds,-21.3393,55.4781,Alize Plage
87,Mahebourg,MU,68.29,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
88,Cocal,BR,64.51,broken clouds,-28.6167,-49.35,Motel Tropical
89,Ibra,OM,71.6,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
90,Arlit,NE,79.57,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
