,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Kontagora,NG,10.3999,5.4695,72.77,57,11,1.61,few clouds
1,Qaanaaq,GL,77.484,-69.3632,-0.83,68,0,10.87,clear sky
2,Salamiyah,SY,35.0113,37.0532,64.63,74,58,4.83,broken clouds
3,Biltine,TD,14.5333,20.9167,82.72,22,2,8.61,clear sky
4,Butembo,CD,0.15,29.2833,57.18,97,99,3.29,overcast clouds
5,Zuwarah,LY,32.9312,12.082,72.54,63,3,4.59,clear sky
6,Jamestown,US,42.097,-79.2353,38.71,98,100,16.11,moderate rain
7,Georgetown,MY,5.4112,100.3354,78.24,88,20,3.44,light rain
8,Arraial Do Cabo,BR,-22.9661,-42.0278,72.3,88,100,22.3,overcast clouds
9,Lebu,CL,-37.6167,-73.65,52.32,87,50,8.77,scattered clouds
10,Coquimbo,CL,-29.9533,-71.3436,58.73,77,20,10.36,few clouds
11,Cayenne,GF,4.9333,-52.3333,80.64,83,0,6.91,clear sky
12,Roald,NO,62.5833,6.1333,45.75,76,100,6.91,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,42.46,70,75,23.02,broken clouds
14,Rotifunk,SL,8.2333,-12.6833,74.12,97,67,1.32,broken clouds
15,Nouakchott,MR,18.0858,-15.9785,80.53,61,0,11.27,clear sky
16,Kuytun,RU,54.3419,101.5036,31.68,95,100,3.65,overcast clouds
17,East London,ZA,-33.0153,27.9116,74.08,80,60,10.07,broken clouds
18,Port Blair,IN,11.6667,92.75,79.75,80,90,10.38,overcast clouds
19,Port Alfred,ZA,-33.5906,26.891,69.19,92,39,1.99,scattered clouds
20,Acworth,US,34.0659,-84.6769,56.44,49,0,0.0,clear sky
21,Ribeira Grande,PT,38.5167,-28.7,65.77,75,100,4.0,overcast clouds
22,Teguise,ES,29.0605,-13.564,68.22,83,20,5.75,few clouds
23,Busselton,AU,-33.65,115.3333,60.48,83,97,6.02,overcast clouds
24,Matinha,BR,-3.1006,-45.0336,79.59,72,46,7.16,scattered clouds
25,Kangaatsiaq,GL,68.3065,-53.4641,31.37,54,100,19.55,overcast clouds
26,Bursa,TR,40.1667,29.0833,55.44,88,83,2.93,broken clouds
27,Baijiantan,CN,45.6333,85.1833,51.42,53,100,6.96,overcast clouds
28,Khandbari,NP,27.3747,87.2039,56.73,59,0,4.25,clear sky
29,Ushtobe,KZ,45.2514,77.9838,43.03,47,89,10.13,overcast clouds
30,Ilulissat,GL,69.2167,-51.1,15.69,93,92,2.35,overcast clouds
31,Iqaluit,CA,63.7506,-68.5145,22.73,67,20,11.5,few clouds
32,Dingle,PH,10.9995,122.6711,78.66,86,100,1.86,moderate rain
33,Nambutalai,IN,9.7167,79.0,80.78,77,80,3.27,moderate rain
34,Araouane,ML,18.9048,-3.5265,88.18,15,51,5.55,broken clouds
35,Visby,SE,57.6409,18.296,46.62,71,40,10.36,scattered clouds
36,San Cristobal,VE,7.7669,-72.225,75.38,96,96,1.72,overcast clouds
37,Victoria,HK,22.2855,114.1577,74.32,65,82,18.99,broken clouds
38,Margate,GB,51.3813,1.3862,59.9,88,100,5.99,overcast clouds
39,Abu Samrah,SY,35.3029,37.1841,66.09,62,56,6.04,broken clouds
40,Diamantino,BR,-14.4086,-56.4461,84.49,48,54,2.93,broken clouds
41,Torbay,CA,47.6666,-52.7314,55.76,96,100,6.91,overcast clouds
42,Sao Raimundo Nonato,BR,-9.0153,-42.6994,83.07,38,31,5.23,scattered clouds
43,Upernavik,GL,72.7868,-56.1549,20.16,84,100,4.25,overcast clouds
44,Hermanus,ZA,-34.4187,19.2345,61.81,91,92,12.91,overcast clouds
45,Morlenbach,DE,49.5992,8.7347,54.25,90,89,5.99,overcast clouds
46,Ponta Do Sol,PT,32.6667,-17.1,75.0,74,99,8.77,overcast clouds
47,Umba,RU,66.6871,34.3429,38.95,69,100,16.11,overcast clouds
48,Berlevag,NO,70.8578,29.0864,37.35,75,75,34.52,light rain
49,Praia,CV,14.9215,-23.5087,77.54,83,20,10.36,few clouds
50,Siavonga,ZM,-16.5382,28.7088,77.32,44,14,6.35,few clouds
51,Mar Del Plata,AR,-38.0023,-57.5575,62.1,96,40,20.0,scattered clouds
52,Aksu,CN,41.1231,80.2644,54.75,24,99,3.0,overcast clouds
53,Alta Floresta,BR,-9.8756,-56.0861,73.81,85,95,2.82,moderate rain
54,Caraquet,CA,47.7941,-64.9386,57.79,99,100,10.16,overcast clouds
55,Saldanha,ZA,-33.0117,17.9442,59.88,89,66,10.85,broken clouds
56,Port Elizabeth,ZA,-33.918,25.5701,73.31,84,0,8.99,clear sky
